IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.85.188,443,443,true,FRA,Europe,Frankfurt,188,7.45
79.72.76.92,443,443,true,FRA,Europe,Frankfurt,187,7.42
144.24.185.94,443,443,true,FRA,Europe,Frankfurt,183,7.42
84.235.169.100,443,443,true,FRA,Europe,Frankfurt,172,7.41
150.136.169.72,443,443,true,IAD,North America,Ashburn,225,7.40
164.152.17.14,443,443,true,ORD,North America,Chicago,205,7.35
129.159.206.135,443,443,true,FRA,Europe,Frankfurt,172,7.35
84.235.172.204,443,443,true,FRA,Europe,Frankfurt,187,7.34
89.168.78.232,443,443,true,FRA,Europe,Frankfurt,166,7.33
89.168.97.22,443,443,true,FRA,Europe,Frankfurt,169,7.33
79.72.77.213,443,443,true,FRA,Europe,Frankfurt,200,7.32
138.2.170.62,443,443,true,FRA,Europe,Frankfurt,183,7.32
130.162.44.211,443,443,true,FRA,Europe,Frankfurt,175,7.32
130.61.181.61,8443,443,true,FRA,Europe,Frankfurt,183,7.29
132.226.195.165,443,443,true,FRA,Europe,Frankfurt,153,7.29
141.147.16.10,443,443,true,FRA,Europe,Frankfurt,182,7.29
141.144.250.128,443,443,true,FRA,Europe,Frankfurt,165,7.28
129.159.193.224,443,443,true,FRA,Europe,Frankfurt,174,7.28
141.148.235.55,443,443,true,FRA,Europe,Frankfurt,182,7.28
130.61.13.183,443,443,true,FRA,Europe,Frankfurt,170,7.27
141.147.25.8,443,443,true,FRA,Europe,Frankfurt,174,7.24
132.145.228.38,443,443,true,FRA,Europe,Frankfurt,176,7.22
150.230.20.147,443,443,true,FRA,Europe,Frankfurt,170,7.21
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,174,7.19
144.21.36.63,443,443,true,FRA,Europe,Frankfurt,183,7.19
152.70.185.252,443,443,true,FRA,Europe,Frankfurt,164,7.17
141.147.86.20,443,443,true,FRA,Europe,Frankfurt,184,7.17
152.70.48.223,443,443,true,FRA,Europe,Frankfurt,185,7.16
141.144.192.26,443,443,true,FRA,Europe,Frankfurt,170,7.14
141.147.81.139,443,443,true,FRA,Europe,Frankfurt,191,7.14
144.21.42.144,443,443,true,FRA,Europe,Frankfurt,181,7.12
130.162.59.68,443,443,true,FRA,Europe,Frankfurt,171,7.12
141.147.101.39,443,443,true,FRA,Europe,Frankfurt,184,7.11
89.168.122.44,443,443,true,FRA,Europe,Frankfurt,222,7.10
141.147.76.201,443,443,true,FRA,Europe,Frankfurt,194,7.09
158.180.23.10,443,443,true,FRA,Europe,Frankfurt,170,7.09
130.162.36.116,443,443,true,FRA,Europe,Frankfurt,172,7.08
68.233.127.163,8443,443,true,YYZ,North America,Toronto,240,7.07
130.162.166.207,443,443,true,FRA,Europe,Frankfurt,180,7.05
79.72.64.84,443,443,true,FRA,Europe,Frankfurt,209,7.04
144.24.163.84,443,443,true,FRA,Europe,Frankfurt,179,7.02
130.162.229.167,443,443,true,FRA,Europe,Frankfurt,173,7.02
138.3.252.150,443,443,true,FRA,Europe,Frankfurt,163,7.01
132.145.54.84,8443,443,true,LHR,Europe,London,158,7.01
158.101.201.136,443,443,true,FRA,Europe,Frankfurt,181,7.00
193.122.11.162,443,443,true,FRA,Europe,Frankfurt,169,6.99
158.101.212.134,443,443,true,FRA,Europe,Frankfurt,177,6.99
193.122.197.111,443,443,true,IAD,North America,Ashburn,238,6.98
193.123.33.74,443,443,true,FRA,Europe,Frankfurt,181,6.97
138.2.137.33,443,443,true,FRA,Europe,Frankfurt,162,6.96
150.230.21.222,443,443,true,FRA,Europe,Frankfurt,181,6.95
152.70.53.165,443,443,true,FRA,Europe,Frankfurt,174,6.95
143.47.235.59,443,443,true,FRA,Europe,Frankfurt,181,6.95
132.145.54.84,2053,443,true,LHR,Europe,London,174,6.94
152.70.53.73,443,443,true,FRA,Europe,Frankfurt,179,6.93
130.162.186.73,443,443,true,FRA,Europe,Frankfurt,186,6.92
143.47.240.142,443,443,true,FRA,Europe,Frankfurt,174,6.91
158.178.158.114,443,443,true,FRA,Europe,Frankfurt,185,6.90
152.67.142.90,443,443,true,FRA,Europe,Frankfurt,174,6.89
193.123.69.77,443,443,true,CDG,Europe,Paris,75,6.87
84.235.170.13,443,443,true,FRA,Europe,Frankfurt,173,6.86
132.145.10.120,443,443,true,FRA,Europe,Frankfurt,194,6.85
79.72.88.200,443,443,true,FRA,Europe,Frankfurt,173,6.84
40.233.70.7,8443,443,true,YYZ,North America,Toronto,268,6.82
158.180.13.96,443,443,true,FRA,Europe,Frankfurt,185,6.81
150.230.117.214,443,443,true,FRA,Europe,Frankfurt,193,6.81
158.178.147.175,443,443,true,FRA,Europe,Frankfurt,187,6.81
193.122.55.170,443,443,true,FRA,Europe,Frankfurt,167,6.80
84.235.164.155,443,443,true,FRA,Europe,Frankfurt,188,6.80
141.148.229.100,443,443,true,FRA,Europe,Frankfurt,183,6.80
141.147.57.27,443,443,true,FRA,Europe,Frankfurt,159,6.79
158.180.48.176,443,443,true,FRA,Europe,Frankfurt,173,6.79
158.101.218.160,443,443,true,FRA,Europe,Frankfurt,182,6.75
144.24.85.158,443,443,true,ICN,Asia Pacific,Seoul,98,6.74
193.123.35.47,443,443,true,FRA,Europe,Frankfurt,174,6.73
144.21.61.51,443,443,true,FRA,Europe,Frankfurt,179,6.72
